,Country,2018,2017,2016,2015,Disaster rate,Internet Access Rate
33,Spain,6.31,6.4,6.36,6.33,3.05,0.803256415186192
34,Colombia,6.26,6.36,6.48,6.48,6.45,0.5871823674931378
35,El Salvador,6.17,6.0,6.07,6.13,16.05,0.2894497496359034
36,Nicaragua,6.14,6.07,5.99,5.83,14.62,0.2397138693782684
37,Poland,6.12,5.97,5.84,5.79,3.2,0.7379166658217032
38,Bahrain,6.1,6.09,6.22,5.96,1.69,0.9795734437936556
39,Uzbekistan,6.1,5.97,5.99,6.0,8.59,0.4620197878039055
40,Kuwait,6.08,6.11,6.24,6.3,3.28,0.8026297533431072
41,Thailand,6.07,6.42,6.47,6.46,6.19,0.4743070566522778
42,Italy,6.0,5.96,5.98,5.95,4.42,0.601129292849921
43,Ecuador,5.97,6.01,5.98,5.98,7.53,0.5371527031374167
44,Lithuania,5.95,5.9,5.81,5.83,2.92,0.75414358188026
45,Slovenia,5.95,5.76,5.77,5.85,3.41,0.7596722003717116
46,Romania,5.94,5.82,5.53,5.12,5.92,0.597327311305078
47,Latvia,5.93,5.85,5.56,5.1,3.31,0.802899868693472
48,Japan,5.92,5.92,5.92,5.99,12.99,0.9373597336029744
49,Mauritius,5.89,5.63,5.65,5.48,15.53,0.5213589843233689
50,Jamaica,5.89,5.31,5.51,5.71,11.83,0.43987003129131197
51,Kazakhstan,5.79,5.82,5.92,5.86,3.56,0.7539958148943565
52,Cyprus,5.76,5.62,5.55,5.69,2.68,0.7589633109921747
53,Bolivia,5.75,5.82,5.82,5.89,4.58,0.3917958906663846
54,Estonia,5.74,5.61,5.52,5.43,2.36,0.8701532919386832
55,Paraguay,5.68,5.49,5.54,5.88,3.48,0.5298586340963654
56,Peru,5.66,5.72,5.74,5.82,6.59,0.4670802901581425
57,Moldova,5.64,5.84,5.9,5.89,4.79,0.8114750359942724
58,Turkmenistan,5.64,5.82,5.66,5.55,6.44,0.17990870257199634
59,Hungary,5.62,5.32,5.14,4.8,5.32,0.7876883924156282
60,Libya,5.57,5.53,5.62,5.75,3.79,0.19651043935427387
61,Philippines,5.52,5.43,5.28,5.07,26.7,0.5531598566587199
62,Honduras,5.5,5.18,4.87,4.79,10.68,0.29488948898125783
63,Belarus,5.48,5.57,5.8,5.81,3.11,0.7095219571913335
64,Turkey,5.48,5.5,5.39,5.33,5.2,0.5812164492964347
65,Pakistan,5.47,5.27,5.13,5.19,6.96,0.14720357906458156
66,Portugal,5.41,5.2,5.12,5.1,3.45,0.7073850132662474
67,Greece,5.36,5.23,5.03,4.86,6.7,0.7170208605795245
68,Tajikistan,5.36,5.04,5.0,4.79,6.72,0.2063862983185125
69,Croatia,5.32,5.29,5.49,5.76,3.97,0.7337503404722509
70,Dominican Republic,5.3,5.23,5.16,4.88,10.96,0.6541210914714857
71,Algeria,5.3,5.87,6.36,5.6,7.36,0.4300340131256614
72,Morocco,5.25,5.24,5.15,5.01,6.45,0.5852088418317718
73,China,5.25,5.27,5.24,5.14,6.39,0.541583484022587
74,Azerbaijan,5.2,5.23,5.29,5.21,5.54,0.7794005459420617
75,Lebanon,5.2,5.22,5.13,4.84,5.01,0.6812088472253741
76,Jordan,5.16,5.34,5.3,5.19,4.58,0.6167819037641025
77,Nigeria,5.16,5.07,4.88,5.27,7.98,0.25674051840175405
78,Bosnia and Herzegovina,5.13,5.18,5.16,4.95,6.1,0.6258316311147349
79,Mongolia,5.12,4.95,4.91,4.87,3.08,0.22054771707119486
80,Vietnam,5.1,5.07,5.06,5.36,12.53,0.4696200046467955
81,Indonesia,5.09,5.26,5.31,5.4,10.24,0.25407306552179354
82,Bhutan,5.08,5.01,5.2,5.25,7.51,0.4523468560856457
83,Cameroon,4.97,4.7,4.51,4.25,10.91,0.24490784061999105
84,Bulgaria,4.93,4.71,4.22,4.22,4.22,0.5985636285530138
85,Nepal,4.88,4.96,4.79,4.51,5.12,0.20932179959811645
86,Gabon,4.76,4.47,4.12,3.9,6.04,0.4738008828247604
87,South Africa,4.72,4.83,4.46,4.64,5.58,0.5381919652412634
88,Ghana,4.66,4.12,4.28,4.63,8.39,0.343310285048641
89,Senegal,4.63,4.53,4.22,3.9,10.38,0.2638041560331898
90,Tunisia,4.59,4.8,5.04,4.74,5.4,0.5003572203901187
91,Albania,4.59,4.64,4.66,4.96,9.5,0.6752283734124775
92,Sierra Leone,4.57,4.71,4.64,4.51,10.21,0.118813787397129
93,Bangladesh,4.5,4.61,4.64,4.69,19.17,0.18822252258708
94,Sri Lanka,4.47,4.44,4.42,4.27,7.32,0.314395368579918
95,Iraq,4.46,4.5,4.58,4.68,4.49,0.2157325773562172
96,Mali,4.45,4.19,4.07,4.0,8.39,0.11130377125979013
97,Cambodia,4.43,4.17,3.91,3.82,16.58,0.3239039132407345
98,Burkina Faso,4.42,4.03,3.74,3.59,9.54,0.13960040925910652
99,Kenya,4.41,4.55,4.36,4.42,6.77,0.164002925404032
100,Zambia,4.38,4.51,4.8,5.13,7.25,0.2586179111849312
101,Mauritania,4.36,4.29,4.2,4.44,7.95,0.18594371992638944
102,Ethiopia,4.35,4.46,4.51,4.51,7.04,0.1518888922489212
103,Georgia,4.34,4.29,4.25,4.3,6.27,0.6240622078307071
104,Armenia,4.32,4.38,4.36,4.35,6.07,0.6409773219724088
105,Myanmar,4.31,4.55,4.39,4.31,8.9,0.249976746257995
106,Chad,4.3,3.94,3.76,3.67,10.85,0.049625296995549815
107,India,4.19,4.32,4.4,4.57,6.64,0.295396175497224
108,Niger,4.17,4.03,3.86,3.84,11.24,0.04298667390644922
109,Uganda,4.16,4.08,3.74,3.93,6.52,0.22891674447315805
110,Benin,4.14,3.66,3.48,3.34,11.39,0.11994306142521012
111,Sudan,4.14,4.14,4.14,4.55,7.99,0.2781125211556878
112,Ukraine,4.1,4.1,4.32,4.68,2.97,0.5233342247228037
113,Togo,4.0,3.49,3.3,2.84,10.36,0.11455213029324288
114,Guinea,3.96,3.51,3.61,3.66,8.2,0.10348912602619036
115,Angola,3.8,3.8,3.87,4.03,6.52,0.12986918879802448
116,Madagascar,3.77,3.64,3.7,3.68,11.15,0.047136944161694325
117,Zimbabwe,3.69,3.88,4.19,4.61,10.06,0.26613387083324125
118,Afghanistan,3.63,3.79,3.36,3.58,9.5,0.10377991454005987
119,Botswana,3.59,3.77,3.97,4.33,5.14,0.4100893356494428
120,Malawi,3.59,3.97,4.16,4.29,7.98,0.12060849428335672
121,Haiti,3.58,3.6,4.03,4.52,11.68,0.12240910260821755
122,Liberia,3.5,3.53,3.62,4.57,7.84,0.07362254370596592
123,Rwanda,3.41,3.47,3.52,3.46,7.09,0.20426250542257152
124,Tanzania,3.3,3.35,3.67,3.78,7.65,0.13617866953536412
125,Burundi,2.9,2.9,2.9,2.9,10.28,0.05191448358399763
