Country,Happiness Rank,Happiness Score,GDP (current US$),PPP,Population Total,Population Density,Median Age
Kazakhstan,54,5.919,137000000000.0,450454000000.0,17794055.0,6.591123088,30.3
Moldova,55,5.897,8071480541.0,22819071050.0,3551954.0,123.7312851,36.3
Russia,56,5.856,1280000000000.0,3530790000000.0,144342396.0,8.813796287,39.3
Poland,57,5.835,472000000000.0,1053110000000.0,37970087.0,124.008253,40.3
South Korea,57,5.835,1410000000000.0,1903410000000.0,51245707.0,525.6562786000002,41.2
Bolivia,59,5.822,33941126194.0,78853625517.0,11031813.0,10.18352534,24.0
Lithuania,60,5.813,42973365745.0,86907455410.0,2868231.0,45.78766499,43.4
Belarus,61,5.8020000000000005,47722657821.0,171963000000.0,9501534.0,46.8083514,39.8
North Cyprus,62,5.771,,,,,
Slovenia,63,5.768,44641210338.0,68526348293.0,2065042.0,102.5241808,44.1
Peru,64,5.742999999999999,192000000000.0,414539000000.0,30926032.0,24.1609625,27.7
Turkmenistan,65,5.6579999999999995,36180000000.0,95668470994.0,5662372.0,12.04939459,27.5
Mauritius,66,5.648,12232463656.0,26724030480.0,1263473.0,622.4004926,34.8
Libya,67,5.615,26221660068.0,97152136717.0,6492164.0,3.689693897,28.5
Latvia,68,5.56,27695474684.0,50634421573.0,1959537.0,31.51394339,43.3
Cyprus,69,5.546,20453761062.0,28682685569.0,1170187.0,126.6436147,36.4
Paraguay,70,5.537999999999999,36054281572.0,83286395428.0,6777872.0,17.05983388,27.8
Romania,71,5.528,188000000000.0,470258000000.0,19702332.0,85.63252782,40.7
Estonia,72,5.517,23984296771.0,40654683249.0,1315790.0,30.2689211,42.4
Jamaica,73,5.51,14072135209.0,25464389345.0,2906238.0,268.3506925,25.6
Croatia,74,5.4879999999999995,51623429121.0,102374000000.0,4174349.0,74.59522873,42.7
Hong Kong,75,5.457999999999999,321000000000.0,431064000000.0,7336600.0,6987.2380950000015,44.0
Somalia,76,5.44,6839998517.0,,14185613.0,22.61232027,17.9
Kosovo,77,5.401,6714712389.0,18546149720.0,1816200.0,166.82281619999995,28.7
Turkey,78,5.388999999999999,864000000000.0,2087370000000.0,79821724.0,103.7144134,30.5
Indonesia,79,5.314,932000000000.0,3035210000000.0,261554226.0,144.3798617,29.9
Jordan,80,5.303,39252468265.0,85802416871.0,9551467.0,107.58579640000002,22.3
Azerbaijan,81,5.291,37867518957.0,169953000000.0,9757812.0,118.033289,30.9
Philippines,82,5.279,305000000000.0,806934000000.0,103663927.0,347.6671932,23.4
China,83,5.245,11100000000000.0,21387600000000.0,1378665000.0,146.85067759999995,37.1
Bhutan,84,5.196000000000001,2219675781.0,7113912041.0,736709.0,19.31388997,27.2
Kyrgyzstan,85,5.185,6813092066.0,21690517215.0,6079500.0,31.69708029,26.2
Serbia,86,5.1770000000000005,40630392019.0,110218000000.0,7058322.0,80.70343014,42.3
Bosnia and Herzegovina,87,5.162999999999999,16913330694.0,43425776220.0,3386267.0,66.13802734,41.7
Montenegro,88,5.1610000000000005,4374128319.0,11118384865.0,622303.0,46.26788104,40.2
Dominican Republic,89,5.155,72342967648.0,162342000000.0,10397743.0,215.2296212,27.8
Morocco,90,5.151,103000000000.0,281433000000.0,35126296.0,78.70557024,28.9
Hungary,91,5.145,126000000000.0,263522000000.0,9814023.0,108.40630729999998,41.8
Pakistan,92,5.132000000000001,279000000000.0,1013180000000.0,203627284.0,264.1491335,23.4
Lebanon,93,5.129,51239050083.0,85188045150.0,6711121.0,656.0235582,29.9
Portugal,94,5.122999999999999,206000000000.0,320523000000.0,10325452.0,112.7163894,41.8
Macedonia,95,5.121,10672471861.0,30822841608.0,2080745.0,82.50376685,37.5
Vietnam,96,5.061,205000000000.0,596038000000.0,93638724.0,301.9922082,30.1
Somaliland Region,97,5.0569999999999995,,,,,
Tunisia,98,5.045,41808379888.0,132748000000.0,11303946.0,72.75969361,32.4
Greece,99,5.033,195000000000.0,293903000000.0,10775971.0,83.5994647,44.2
Tajikistan,100,4.996,6952678127.0,26047146785.0,8663579.0,62.42221342,24.2
Mongolia,101,4.907,11186734674.0,37106787271.0,3056359.0,1.967326013,27.9
Laos,102,4.876,15805707154.0,44314739460.0,6845846.0,29.66137782,22.7
Nigeria,103,4.875,405000000000.0,1094000000000.0,185960289.0,204.1791989,18.3
Honduras,104,4.871,21566622850.0,43416307561.0,9270795.0,82.85633211,22.6
Iran,105,4.813,419000000000.0,1603240000000.0,79564016.0,48.84944129,29.4
Zambia,106,4.795,20954754378.0,65421373556.0,16363507.0,22.0120085,16.7
Nepal,107,4.793,21185922408.0,72023121031.0,27261131.0,190.1718242,23.6
Palestinian Territories,108,4.754,13425700000.0,21692146591.0,4367088.0,725.4299003,19.2
Albania,109,4.655,11861352705.0,34134175007.0,2876101.0,104.9671898,32.5
Bangladesh,110,4.643,221000000000.0,583983000000.0,157970840.0,1213.573327,26.3
Sierra Leone,111,4.635,3674794530.0,10890981977.0,7328838.0,101.5355777,19.0
Iraq,112,4.575,170000000000.0,652709000000.0,36610632.0,84.33142147,19.9
Namibia,113,4.574,11286139080.0,26411068149.0,2358041.0,2.864168155,21.0
Cameroon,114,4.513,32621535419.0,84856536734.0,23926539.0,50.61568192,18.5
Ethiopia,115,4.508,74271281811.0,180909000000.0,103603501.0,103.603501,17.8
South Africa,116,4.459,296000000000.0,743073000000.0,56203654.0,46.33098451,26.8
Sri Lanka,117,4.415,82401038710.0,262055000000.0,21203000.0,338.1119439,32.5
India,118,4.404,2290000000000.0,8787920000000.0,1324509589.0,445.4843414,27.6
Myanmar,119,4.395,63256184700.0,302881000000.0,53045226.0,81.22316715,28.6
Egypt,120,4.362,333000000000.0,1066710000000.0,94447072.0,94.87877041,23.8
Armenia,121,4.36,10546135160.0,25863255541.0,2936146.0,103.1312259,34.6
Kenya,122,4.356,69188755511.0,153131000000.0,49051686.0,86.18562392,19.5
Ukraine,123,4.324,93355993629.0,353743000000.0,45004645.0,77.68931796,40.4
Ghana,124,4.276,55009730589.0,117791000000.0,28481946.0,125.1733585,21.0
Congo (Kinshasa),125,4.272,37134799974.0,68437288037.0,78789127.0,34.75403145,18.4
Georgia,126,4.252,14378036929.0,37250877581.0,3727505.0,65.21405578,38.0
Congo (Brazzaville),127,4.236000000000001,9035848071.0,29059126467.0,4980999.0,14.58564861,19.7
Senegal,128,4.218999999999999,19027392876.0,50251358109.0,14993528.0,77.87632057,18.7
Bulgaria,129,4.217,53240950226.0,138995000000.0,7127822.0,65.65790346,42.4
Mauritania,130,4.2010000000000005,4727937032.0,16588414158.0,4163534.0,4.039520714,20.3
Zimbabwe,131,4.1930000000000005,20548678100.0,37705065648.0,14030390.0,36.2682952,20.6
Malawi,132,4.156000000000001,5433040160.0,21169672700.0,17205289.0,182.491398,16.5
Sudan,133,4.138999999999999,95558220777.0,187437000000.0,39847440.0,,19.6
Gabon,134,4.121,14014369642.0,35820248114.0,2007873.0,7.792420537999999,18.6
Mali,135,4.073,14010787738.0,38294923472.0,17965429.0,14.72346848,16.2
Haiti,136,4.0280000000000005,7975563430.0,19372753030.0,10839970.0,393.3225689,22.6
Botswana,137,3.9739999999999998,15646323341.0,37398956044.0,2159944.0,3.81123992,23.2
Comoros,138,3.9560000000000004,1024261821.0,2139394723.0,795592.0,427.5077775,19.6
Ivory Coast,139,3.9160000000000004,35296979104.0,87323360876.0,23822714.0,74.91419497,20.7
Cambodia,140,3.907,20016747754.0,59012585012.0,15766293.0,89.31731815,24.9
Angola,141,3.866,101000000000.0,194887000000.0,28842484.0,23.13506377,18.2
Niger,142,3.8560000000000003,7528285444.0,20470418145.0,20788838.0,16.41180864,15.3
South Sudan,143,3.832,3070885014.0,19625017092.0,10832512.0,,17.1
Chad,144,3.763,10090922857.0,29309973474.0,14561666.0,11.56422014,17.6
Burkina Faso,145,3.739,10886363727.0,33065973361.0,18646378.0,68.15196637,17.2
Uganda,145,3.739,24133664285.0,75659346318.0,39647506.0,197.723449,15.7
Yemen,147,3.7239999999999998,30968242968.0,76823303515.0,27168210.0,51.45786692,19.2
Madagascar,148,3.695,9958655045.0,37539288199.0,24894380.0,42.78855277,19.5
Tanzania,149,3.6660000000000004,49774021003.0,150708000000.0,53050790.0,59.89025739,17.6
Liberia,150,3.622,3277826000.0,5824698888.0,4586788.0,47.62030731,18.3
Guinea,151,3.6069999999999998,8604520929.0,25440105141.0,11738441.0,47.77161403,18.8
Rwanda,152,3.515,8475681533.0,23084077091.0,11668818.0,472.9962708000001,19.0
Benin,153,3.484,8573159697.0,23589730506.0,10872067.0,96.41776339,18.0
Afghanistan,154,3.36,19362642267.0,67121529135.0,35383128.0,54.19711424,18.6
Togo,155,3.303,4414908597.0,12171402346.0,7509952.0,138.0759698,19.7
Syria,156,3.069,,,,,24.1
Burundi,157,2.905,2959185295.0,7802059444.0,10487998.0,408.4111371,17.0
