Country,Happiness Rank,Happiness Score,Latitude,Longitude
Congo [Republic],,,-0.228021,15.827659
Cote d'Ivoire,,,7.539989,-5.54708
Cook Islands,,,-21.236736,-159.777671
Cuba,,,21.521757,-77.78116700000002
Cape Verde,,,16.002082,-24.013197
Christmas Island,,,-10.447525,105.690449
Djibouti,,,11.825138,42.590275
Dominica,,,15.414999,-61.370976
Western Sahara,,,24.215527,-12.885834
Eritrea,,,15.179384,39.78233400000001
Fiji,,,-16.578193,179.414413
Falkland Islands [Islas Malvinas],,,-51.796253,-59.523613
Micronesia,,,7.425553999999999,150.550812
Faroe Islands,,,61.892635,-6.911806
Grenada,,,12.262776,-61.604171
French Guiana,,,3.933889,-53.125782
Guernsey,,,49.465691,-2.585278
Gibraltar,,,36.137741,-5.345374
Greenland,,,71.706936,-42.604303
Gambia,,,13.443182,-15.310139
Guadeloupe,,,16.995971,-62.067641
Equatorial Guinea,,,1.6508009999999995,10.267895
South Georgia and the South Sandwich Islands,,,-54.429579,-36.587909
Guam,,,13.444304,144.793731
Guinea-Bissau,,,11.803749,-15.180413
Guyana,,,4.860416000000002,-58.93018000000001
Gaza Strip,,,31.354676,34.308825
Heard Island and McDonald Islands,,,-53.08181,73.50415799999998
Isle of Man,,,54.236107,-4.548056
British Indian Ocean Territory,,,-6.343194,71.87651899999999
Jersey,,,49.214439,-2.13125
Kiribati,,,-3.370417,-168.734039
Saint Kitts and Nevis,,,17.357822,-62.782998
North Korea,,,40.339852,127.510093
Cayman Islands,,,19.513469,-80.566956
Saint Lucia,,,13.909444,-60.97889300000001
Liechtenstein,,,47.166,9.555373
Lesotho,,,-29.609988,28.233608
Monaco,,,43.750298,7.412841
Marshall Islands,,,7.131474000000001,171.184478
Macedonia [FYROM],,,41.608635,21.745275
Myanmar [Burma],,,21.913965,95.956223
Macau,,,22.198745,113.543873
Northern Mariana Islands,,,17.33083,145.38468999999995
Martinique,,,14.641528,-61.024174
Montserrat,,,16.742498,-62.187366
Maldives,,,3.202778,73.22068
Mozambique,,,-18.665695,35.529562
New Caledonia,,,-20.904305,165.618042
Norfolk Island,,,-29.040835,167.954712
Nauru,,,-0.522778,166.931503
Niue,,,-19.054445,-169.867233
Oman,,,21.512583,55.92325500000001
French Polynesia,,,-17.679742,-149.40684299999995
Papua New Guinea,,,-6.314993,143.95555
Saint Pierre and Miquelon,,,46.941936,-56.27111
Pitcairn Islands,,,-24.703615,-127.439308
Palau,,,7.51498,134.58252
Reunion,,,-21.115141,55.536384
Solomon Islands,,,-9.64571,160.156194
Seychelles,,,-4.679574,55.491977
Saint Helena,,,-24.143474,-10.030696
Svalbard and Jan Mayen,,,77.553604,23.670272
San Marino,,,43.94236,12.457777
Sao Tomo and Principe,,,0.18636,6.613081
Swaziland,,,-26.522503000000004,31.465866
Turks and Caicos Islands,,,21.694025,-71.797928
French Southern Territories,,,-49.280366,69.348557
Tokelau,,,-8.967363,-171.855881
Timor-Leste,,,-8.874217,125.727539
Tonga,,,-21.178986,-175.198242
Tuvalu,,,-7.109535,177.64933
Vatican City,,,41.902916,12.453389
Saint Vincent and the Grenadines,,,12.984305,-61.287228000000006
British Virgin Islands,,,18.420695,-64.63996800000001
U.S. Virgin Islands,,,18.335765,-64.896335
Vanuatu,,,-15.376706,166.959158
Wallis and Futuna,,,-13.768752,-177.156097
Samoa,,,-13.759029,-172.10462900000005
Mayotte,,,-12.8275,45.166244
