Country1,Happiness Rank1,Happiness Score1,Latitude1,Longitude1,Country2,Happiness Rank2,Happiness Score2,Latitude2,Longitude2,Latitude Distance,Longitude Distance,Distance,Rank Difference,Score Difference
Denmark,1,7.526,56.26392,9.501785,Belarus,61,5.8020000000000005,53.709807,27.953389,2.554113000000001,-18.451604000000003,18.62753830729077,60,1.7239999999999993
Denmark,1,7.526,56.26392,9.501785,Slovenia,63,5.768,46.151241,14.995463,10.112679,-5.493678000000001,11.5085522340877,62,1.758
Denmark,1,7.526,56.26392,9.501785,Peru,64,5.742999999999999,-9.189967,-75.015152,65.453887,84.516937,106.89866212105153,63,1.7830000000000004
Denmark,1,7.526,56.26392,9.501785,Turkmenistan,65,5.6579999999999995,38.969719,59.556278000000006,17.294201,-50.05449300000001,52.95792346491176,64,1.8680000000000003
Denmark,1,7.526,56.26392,9.501785,Mauritius,66,5.648,-20.348404,57.552152,76.612324,-48.050367,90.43387616106956,65,1.8780000000000001
Denmark,1,7.526,56.26392,9.501785,Libya,67,5.615,26.3351,17.228331,29.928819999999998,-7.726546000000001,30.910091874378438,66,1.9109999999999996
Denmark,1,7.526,56.26392,9.501785,Latvia,68,5.56,56.879635,24.603189,0.6157150000000016,-15.101404,15.113950765185157,67,1.9660000000000002
Denmark,1,7.526,56.26392,9.501785,Cyprus,69,5.546,35.126413,33.429859,21.137507,-23.928074000000002,31.927212962056757,68,1.9799999999999995
Denmark,1,7.526,56.26392,9.501785,Paraguay,70,5.537999999999999,-23.442503,-58.44383199999999,79.706423,67.945617,104.73643462026773,69,1.9880000000000004
Denmark,1,7.526,56.26392,9.501785,Romania,71,5.528,45.943161,24.96676,10.320758999999995,-15.464975,18.592566204983807,70,1.9980000000000002
Denmark,1,7.526,56.26392,9.501785,Estonia,72,5.517,58.595272,25.013607,2.3313520000000025,-15.511822,15.686039140190491,71,2.0089999999999995
Denmark,1,7.526,56.26392,9.501785,Jamaica,73,5.51,18.109581,-77.297508,38.154339,86.79929299999999,94.81492946697144,72,2.016
Denmark,1,7.526,56.26392,9.501785,Croatia,74,5.4879999999999995,45.1,15.2,11.163919999999997,-5.698214999999999,12.534064143470184,73,2.0380000000000003
Denmark,1,7.526,56.26392,9.501785,Hong Kong,75,5.457999999999999,22.396428,114.109497,33.867492,-104.607712,109.95353757039838,74,2.0680000000000005
Denmark,1,7.526,56.26392,9.501785,Somalia,76,5.44,5.152149,46.199616,51.111771,-36.697831,62.921728638531555,75,2.0859999999999994
Denmark,1,7.526,56.26392,9.501785,Kosovo,77,5.401,42.602636,20.902977,13.661284000000002,-11.401192,17.793759005604187,76,2.125
Denmark,1,7.526,56.26392,9.501785,Turkey,78,5.388999999999999,38.963745,35.243322,17.300174999999996,-25.741537,31.01488001190709,77,2.1370000000000005
Denmark,1,7.526,56.26392,9.501785,Indonesia,79,5.314,-0.789275,113.921327,57.053195,-104.419542,118.98952815772398,78,2.2119999999999997
Denmark,1,7.526,56.26392,9.501785,Jordan,80,5.303,30.585164,36.238414,25.678756,-26.736629,37.070821949225476,79,2.223
Denmark,1,7.526,56.26392,9.501785,Azerbaijan,81,5.291,40.143105,47.57692700000001,16.120815,-38.075142000000014,41.34727457262921,80,2.2349999999999994
Denmark,1,7.526,56.26392,9.501785,Philippines,82,5.279,12.879721,121.774017,43.384198999999995,-112.272232,120.36296274657509,81,2.247
Denmark,1,7.526,56.26392,9.501785,China,83,5.245,35.86166,104.195397,20.40226,-94.693612,96.86656991302078,82,2.2809999999999997
Denmark,1,7.526,56.26392,9.501785,Bhutan,84,5.196000000000001,27.514162,90.433601,28.749758,80.931816,85.88659631232582,83,2.329999999999999
Denmark,1,7.526,56.26392,9.501785,Kyrgyzstan,85,5.185,41.20438,74.766098,15.059539999999998,-65.264313,66.97925273077902,84,2.341
Denmark,1,7.526,56.26392,9.501785,Serbia,86,5.1770000000000005,44.016521,21.005859,12.247399000000001,-11.504074000000001,16.803050343990435,85,2.3489999999999993
Denmark,1,7.526,56.26392,9.501785,Bosnia and Herzegovina,87,5.162999999999999,43.915886,17.679076000000006,12.348033999999998,-8.177291000000006,14.810200260760725,86,2.3630000000000004
Denmark,1,7.526,56.26392,9.501785,Montenegro,88,5.1610000000000005,42.708678000000006,19.37439,13.555241999999993,-9.872604999999998,16.769404138626655,87,2.3649999999999993
Denmark,1,7.526,56.26392,9.501785,Dominican Republic,89,5.155,18.735693,-70.162651,37.528227,79.664436,88.06128652797223,88,2.3709999999999996
Denmark,1,7.526,56.26392,9.501785,Morocco,90,5.151,31.791702,-7.09262,24.472217999999998,16.594405000000002,29.56795108125602,89,2.375
Denmark,1,7.526,56.26392,9.501785,Hungary,91,5.145,47.162494,19.503304,9.101425999999996,-10.001519,13.522808049397023,90,2.3810000000000002
Denmark,1,7.526,56.26392,9.501785,Pakistan,92,5.132000000000001,30.375321000000003,69.345116,25.888598999999996,-59.843331000000006,65.20309673135442,91,2.3939999999999992
Denmark,1,7.526,56.26392,9.501785,Lebanon,93,5.129,33.854721000000005,35.862285,22.409198999999994,-26.360500000000002,34.59838377831544,92,2.3970000000000002
Denmark,1,7.526,56.26392,9.501785,Portugal,94,5.122999999999999,39.399872,-8.224454,16.864047999999997,17.726239,24.466623470177183,93,2.4030000000000005
Denmark,1,7.526,56.26392,9.501785,Macedonia,95,5.121,41.608635,21.745275,14.655285,-12.24349,19.096607704284157,94,2.4049999999999994
Denmark,1,7.526,56.26392,9.501785,Vietnam,96,5.061,14.058324,108.277199,42.205596,-98.775414,107.41459279160635,95,2.465
Denmark,1,7.526,56.26392,9.501785,Tunisia,98,5.045,33.886917,9.537499,22.377003000000002,0.03571400000000047,22.37703149999582,97,2.481
Denmark,1,7.526,56.26392,9.501785,Greece,99,5.033,39.074208,21.824312,17.189712,-12.322527,21.150197878711985,98,2.4929999999999994
Denmark,1,7.526,56.26392,9.501785,Tajikistan,100,4.996,38.861034,71.276093,17.402886000000002,-61.774308000000005,64.17885609768891,99,2.5299999999999994
Denmark,1,7.526,56.26392,9.501785,Mongolia,101,4.907,46.862496,103.846656,9.401423999999999,-94.344871,94.8121377104979,100,2.6189999999999998
Denmark,1,7.526,56.26392,9.501785,Laos,102,4.876,19.85627,102.495496,36.407650000000004,-92.993711,99.8666474057982,101,2.6499999999999995
Denmark,1,7.526,56.26392,9.501785,Nigeria,103,4.875,9.081999,8.675277000000001,-47.181921,0.8265079999999987,47.18915961027813,102,2.651
Denmark,1,7.526,56.26392,9.501785,Honduras,104,4.871,15.199998999999998,-86.241905,41.063921,95.74369,104.17821165056704,103,2.6549999999999994
