Country,Happiness Rank,Happiness Score,GDP (current US$),PPP
Andorra,,,,
Arab World,,,,6832460000000.0
American Samoa,,,,
Antigua and Barbuda,,,,2285469998.0
"Bahamas, The",,,,11663909983.0
Bermuda,,,,
Barbados,,,,5152318373.0
Brunei Darussalam,,,,32800933005.0
Central African Republic,,,,3580984631.0
Central Europe and the Baltics,,,,2815030000000.0
Channel Islands,,,,
Cabo Verde,,,,3563516895.0
Caribbean small states,,,,112949000000.0
Cuba,,,,
Curacao,,,,4419442806.0
Cayman Islands,,,,4382957430.0
Djibouti,,,,
Dominica,,,,804883336.9
East Asia & Pacific (excluding high income),,,,28416700000000.0
Early-demographic dividend,,,,29429900000000.0
East Asia & Pacific,,,,39077400000000.0
Europe & Central Asia (excluding high income),,,,8053300000000.0
Europe & Central Asia,,,,28900000000000.0
Euro area,,,,14570600000000.0
Eritrea,,,,
European Union,,,,20567600000000.0
Fragile and conflict affected situations,,,,2178500000000.0
Fiji,,,,8447984356.0
Faroe Islands,,,,
"Micronesia, Fed. Sts.",,,,371425127.5
Gibraltar,,,,
"Gambia, The",,,,3349853438.0
Guinea-Bissau,,,,2938237476.0
Equatorial Guinea,,,,31876738090.0
Grenada,,,,1526469103.0
Greenland,,,,
Guam,,,,
Guyana,,,,6066709212.0
High income,,,,56297900000000.0
Heavily indebted poor countries (HIPC),,,,1713210000000.0
IBRD only,,,,61054400000000.0
IDA & IBRD total,,,,66755300000000.0
IDA total,,,,5767740000000.0
IDA blend,,,,2736730000000.0
IDA only,,,,3014930000000.0
Isle of Man,,,,
Not classified,,,,
Kiribati,,,,248773766.3
St. Kitts and Nevis,,,,1537321198.0
Latin America & Caribbean (excluding high income),,,,9055170000000.0
St. Lucia,,,,2324287360.0
Latin America & Caribbean,,,,9864070000000.0
Least developed countries: UN classification,,,,2614730000000.0
Low income,,,,1386870000000.0
Liechtenstein,,,,
Lower middle income,,,,19775600000000.0
Low & middle income,,,,65253200000000.0
Lesotho,,,,6576430280.0
Late-demographic dividend,,,,37751100000000.0
"Macao SAR, China",,,,64610842539.0
St. Martin (French part),,,,
Monaco,,,,
Maldives,,,,6683781321.0
Middle East & North Africa,,,,8556900000000.0
Marshall Islands,,,,213723422.7
Middle income,,,,63907900000000.0
Middle East & North Africa (excluding high income),,,,4930570000000.0
Northern Mariana Islands,,,,
Mozambique,,,,35090043503.0
North America,,,,20336300000000.0
New Caledonia,,,,
Nauru,,,,182453748.3
OECD members,,,,54597300000000.0
Oman,,,,189809000000.0
Other small states,,,,763890000000.0
Palau,,,,328471540.4
Papua New Guinea,,,,34814036331.0
Pre-demographic dividend,,,,3364990000000.0
"Korea, Dem. People’s Rep.",,,,
Pacific island small states,,,,13941517982.0
Post-demographic dividend,,,,49706200000000.0
French Polynesia,,,,
South Asia,,,,10800100000000.0
Solomon Islands,,,,1410334229.0
San Marino,,,,2052148940.0
Sub-Saharan Africa (excluding high income),,,,3885370000000.0
Sub-Saharan Africa,,,,3887990000000.0
Small states,,,,890731000000.0
Sao Tome and Principe,,,,648142078.2
Eswatini,,,,11404814905.0
Sint Maarten (Dutch part),,,,1381663765.0
Seychelles,,,,2619951064.0
Syrian Arab Republic,,,,
Turks and Caicos Islands,,,,833881767.2
East Asia & Pacific (IDA & IBRD countries),,,,28362500000000.0
Europe & Central Asia (IDA & IBRD countries),,,,9208790000000.0
Latin America & the Caribbean (IDA & IBRD countries),,,,9559970000000.0
Timor-Leste,,,,9960055057.0
Middle East & North Africa (IDA & IBRD countries),,,,4909400000000.0
Tonga,,,,616128365.3
South Asia (IDA & IBRD),,,,10800100000000.0
Sub-Saharan Africa (IDA & IBRD countries),,,,3887990000000.0
Tuvalu,,,,41843559.78
Upper middle income,,,,44099200000000.0
St. Vincent and the Grenadines,,,,1258448520.0
"Venezuela, RB",,,,
British Virgin Islands,,,,
Virgin Islands (U.S.),,,,
Vanuatu,,,,833927748.0
World,,,,121368000000000.0
Samoa,,,,1246452120.0
