,Country,2018,2017_x,2016_x,2015,2016_y,2017_y
122,Congo (Kinshasa),4.24,4.28,4.27,4.52,,
123,India,4.19,4.32,4.4,4.57,0.556,0.556
124,Niger,4.17,4.03,3.86,3.84,0.212,0.214
125,Uganda,4.16,4.08,3.74,3.93,0.504,0.525
126,Benin,4.14,3.66,3.48,3.34,0.47100000000000003,0.47100000000000003
127,Sudan,4.14,4.14,4.14,4.55,0.326,0.32799999999999996
128,Ukraine,4.1,4.1,4.32,4.68,0.794,0.794
129,Togo,4.0,3.49,3.3,2.84,0.506,0.506
130,Guinea,3.96,3.51,3.61,3.66,0.33899999999999997,0.33899999999999997
131,Angola,3.8,3.8,3.87,4.03,0.48700000000000004,0.498
132,Madagascar,3.77,3.64,3.7,3.68,0.498,0.498
133,Zimbabwe,3.69,3.88,4.19,4.61,0.5579999999999999,0.5579999999999999
134,Afghanistan,3.63,3.79,3.36,3.58,0.41,0.415
135,Botswana,3.59,3.77,3.97,4.33,0.659,0.659
136,Malawi,3.59,3.97,4.16,4.29,0.45,0.451
137,Haiti,3.58,3.6,4.03,4.52,0.428,0.433
138,Liberia,3.5,3.53,3.62,4.57,0.43,0.434
139,Syria,3.46,3.46,3.07,3.01,0.41200000000000003,0.41200000000000003
140,Rwanda,3.41,3.47,3.52,3.46,0.45,0.45
141,Yemen,3.36,3.59,3.72,4.08,0.349,0.349
142,Tanzania,3.3,3.35,3.67,3.78,0.441,0.441
143,Burundi,2.9,2.9,2.9,2.9,0.424,0.424
144,Andorra,,,,,0.7140000000000001,0.7140000000000001
145,Antigua and Barbuda,,,,,0.6759999999999999,0.6759999999999999
146,Bahamas,,,,,0.726,0.726
147,Barbados,,,,,0.777,0.777
148,Belize,,,,,0.705,0.705
149,Brunei Darussalam,,,,,0.7040000000000001,0.7040000000000001
150,Cabo Verde,,,,,0.555,0.555
151,Central African Republic,,,,,0.341,0.341
152,Comoros,,,,,0.473,0.473
153,Congo,,,,,0.526,0.526
154,Cuba,,,,,0.774,0.78
155,Cote d'Ivoire,,,,,0.42100000000000004,0.424
156,Djibouti,,,,,0.309,0.309
157,Dominica,,,,,0.616,0.613
158,Equatorial Guinea,,,,,0.44299999999999995,0.44299999999999995
159,Eritrea,,,,,0.27899999999999997,0.281
160,Eswatini (Kingdom of),,,,,0.528,0.528
161,Fiji,,,,,0.785,0.785
162,Gambia,,,,,0.368,0.37200000000000005
163,Grenada,,,,,0.758,0.758
164,Guinea-Bissau,,,,,0.392,0.392
165,Guyana,,,,,0.596,0.596
166,"Hong Kong, China (SAR)",,,,,0.855,0.855
167,Kiribati,,,,,0.62,0.62
168,Lao People's Democratic Republic,,,,,0.485,0.485
169,Lesotho,,,,,0.502,0.502
170,Liechtenstein,,,,,0.8270000000000001,0.8270000000000001
171,Maldives,,,,,0.56,0.56
172,Marshall Islands,,,,,,0.723
173,Micronesia (Federated States of),,,,,0.5920000000000001,0.59
174,Mozambique,,,,,0.385,0.385
175,Namibia,,,,,0.569,0.5710000000000001
176,Oman,,,,,0.706,0.706
177,Palau,,,,,0.8370000000000001,0.8440000000000001
178,Papua New Guinea,,,,,0.429,0.43
179,Saint Kitts and Nevis,,,,,0.674,0.68
180,Saint Lucia,,,,,0.6759999999999999,0.6759999999999999
181,Saint Vincent and the Grenadines,,,,,0.655,0.655
182,Samoa,,,,,0.6920000000000001,0.6920000000000001
183,Sao Tome and Principe,,,,,0.546,0.557
184,Seychelles,,,,,0.7240000000000001,0.727
185,Solomon Islands,,,,,0.465,0.469
186,South Sudan,,,,,0.297,0.297
187,Suriname,,,,,0.636,0.636
188,Timor-Leste,,,,,0.505,0.505
189,Tonga,,,,,0.769,0.77
190,Trinidad and Tobago,,,,,0.722,0.722
191,Vanuatu,,,,,0.529,0.529
